sku,api_url,brand,color,image,model,name,releaseDate,sku
006b11d9-17f6-4ef8-822a-111a9d7a055b,https://stockx.com/api/products/006b11d9-17f6-4ef8-822a-111a9d7a055b/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,Cadet Green/Cadet Green,https://stockx.imgix.net/Air-Jordan-6-Retro-Macklemore-Green-Python.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,Jordan 6 Retro,Jordan 6 Retro Macklemore Green Python,2017-09-18 23-59-59,006b11d9-17f6-4ef8-822a-111a9d7a055b
021d9aab-f5a0-47be-8777-4791a4af9968,https://stockx.com/api/products/021d9aab-f5a0-47be-8777-4791a4af9968/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,Cool Grey/Chrome-Dark Charcoal-Varsity Maize,https:--,Jordan 4 Retro,Jordan 4 Retro Cool Grey (2019),2019-08-03 23-59-59,021d9aab-f5a0-47be-8777-4791a4af9968
0292a38c-928e-4bca-be7c-0943dda746e4,https://stockx.com/api/products/0292a38c-928e-4bca-be7c-0943dda746e4/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,Footwear White/Footwear White/Scarlet,https://stockx.imgix.net/Adidas-Ultra-Boost-4pt0-Candy-Cane.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,adidas Ultra Boost 4.0,adidas Ultra Boost 4.0 Candy Cane,2017-12-01 23-59-59,0292a38c-928e-4bca-be7c-0943dda746e4
0302ae2c-b4b5-4419-a534-44cfcfea81b3,https://stockx.com/api/products/0302ae2c-b4b5-4419-a534-44cfcfea81b3/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,Black/University Gold-White,https://stockx.imgix.net/Air-Jordan-1-Mid-Black-University-Gold.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1557364540,Jordan 1 Mid,Jordan 1 Mid Black University Gold,2019-06-01 23-59-59,0302ae2c-b4b5-4419-a534-44cfcfea81b3
038787c2-2b85-4708-85b9-60d0c72f4563,https://stockx.com/api/products/038787c2-2b85-4708-85b9-60d0c72f4563/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,White/Varsity Blue-Black,https://stockx.imgix.net/Air-Jordan-4-Retro-Motorsports-2017-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1549855113,Jordan 4 Retro,Jordan 4 Retro Motorsports (2017),2017-03-26 23-59-59,038787c2-2b85-4708-85b9-60d0c72f4563
041884eb-b385-4ee9-9ca3-bc0f0f6223cb,https://stockx.com/api/products/041884eb-b385-4ee9-9ca3-bc0f0f6223cb/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,Ash Pearl/Ash Pearl/Ash Pearl,https://stockx.imgix.net/Adidas-Ultra-Boost-4pt0-Ash-Pearl-W.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,adidas Ultra Boost 4.0,adidas Ultra Boost 4.0 Ash Pearl (W),2017-11-30 23-59-59,041884eb-b385-4ee9-9ca3-bc0f0f6223cb
05ada130-b9b1-44cf-b911-d4a9a2d38b6a,https://stockx.com/api/products/05ada130-b9b1-44cf-b911-d4a9a2d38b6a/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,Core Black/Core Black/Utility Black,https://stockx.imgix.net/Adidas-Ultra-Boost-3pt0-Triple-Black-2pt0.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,adidas Ultra Boost 3.0,adidas Ultra Boost 3.0 Triple Black 2.0,2017-06-28 23-59-59,05ada130-b9b1-44cf-b911-d4a9a2d38b6a
068f6493-eab6-4745-a869-202dd7ec1979,https://stockx.com/api/products/068f6493-eab6-4745-a869-202dd7ec1979/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,Black/Metallic Gold-Black,https://stockx.imgix.net/Air-Jordan-1-Retro-BHM-2017.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,Jordan 1 Retro,Jordan 1 Retro BHM (2017),2017-02-16 23-59-59,068f6493-eab6-4745-a869-202dd7ec1979
07447505-bec2-4b38-9f46-af513d30bd0b,https://stockx.com/api/products/07447505-bec2-4b38-9f46-af513d30bd0b/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,Black/Black-Metallic Gold,https://stockx.imgix.net/Air-Jordan-1-Retro-High-Wings-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1556652845,Jordan 1 Retro High,Jordan 1 Retro High Wings,2017-05-17 23-59-59,07447505-bec2-4b38-9f46-af513d30bd0b
0789963f-4c30-4052-abc0-e7f898dd21db,https://stockx.com/api/products/0789963f-4c30-4052-abc0-e7f898dd21db/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Nike,Light Bone/Bone,https://stockx.imgix.net/Nike-Air-Fear-Of-God-1-Light-Bone-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1543943377,Air Fear Of God 1,Air Fear Of God 1 Light Bone,2019-01-19 23-59-59,0789963f-4c30-4052-abc0-e7f898dd21db
079e55d5-6675-4e7d-b54c-41d2ce74490a,https://stockx.com/api/products/079e55d5-6675-4e7d-b54c-41d2ce74490a/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,Core Black/Core Black,https://stockx.imgix.net/Adidas-Ultra-Boost-ATR-Mid-Oreo.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,adidas Ultra Boost ATR Mid,adidas Ultra Boost ATR Mid Oreo,2017-09-21 23-59-59,079e55d5-6675-4e7d-b54c-41d2ce74490a
07aade20-3c4b-41a4-bc84-af52f6bd4a5f,https://stockx.com/api/products/07aade20-3c4b-41a4-bc84-af52f6bd4a5f/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,Black/University Red,https://stockx.imgix.net/Air-Jordan-1-Retro-Essentials-Black.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,Jordan 1 Retro High OG,Jordan 1 Retro High OG Black,2017-08-01 23-59-59,07aade20-3c4b-41a4-bc84-af52f6bd4a5f
07ac1ff3-9ca3-4126-ab03-a80ae1c9dba3,https://stockx.com/api/products/07ac1ff3-9ca3-4126-ab03-a80ae1c9dba3/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Nike,Total Orange/Black-Metallic Silver,https://stockx.imgix.net/Nike-PG-3-NASA.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1548454579,Nike PG 3,Nike PG 3 NASA,2019-01-26 23-59-59,07ac1ff3-9ca3-4126-ab03-a80ae1c9dba3
081f7182-23d8-4172-88b6-6f1ca7a71894,https://stockx.com/api/products/081f7182-23d8-4172-88b6-6f1ca7a71894/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,Black/Court Purple-University Red,https://stockx.imgix.net/Air-Jordan-4-Retro-Raptors-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,Jordan 4 Retro,Jordan 4 Retro Raptors (2018),2018-08-18 23-59-59,081f7182-23d8-4172-88b6-6f1ca7a71894
097e25bc-18bf-4d14-bc1a-47705059ad9c,https://stockx.com/api/products/097e25bc-18bf-4d14-bc1a-47705059ad9c/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,Mauve/Mauve/Mauve,https://stockx.imgix.net/Adidas-Yeezy-700-Mauve-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1539982972,adidas Yeezy 700,adidas Yeezy 700 Mauve,2018-10-27 23-59-59,097e25bc-18bf-4d14-bc1a-47705059ad9c
09cff876-4d0c-42b3-b417-dce109674125,https://stockx.com/api/products/09cff876-4d0c-42b3-b417-dce109674125/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,adidas,Core Black/Deepest Purple/Core Black,https://stockx.imgix.net/Adidas-Human-Race-NMD-Pharrell-Holi-Festival-Core-Black-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,adidas Human Race NMD,adidas Human Race NMD Pharrell Holi Festival (Core Black),2018-09-01 23-59-59,09cff876-4d0c-42b3-b417-dce109674125
0b65f77d-5f0c-4dc2-8b47-566c53ed337f,https://stockx.com/api/products/0b65f77d-5f0c-4dc2-8b47-566c53ed337f/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Nike,White/Dark Obsidian-Neutral Grey-Black,https://stockx.imgix.net/Nike-Air-Max-1-Anniversary-Obsidian.png?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,Air Max 1,Air Max 1 Anniversary Obsidian,2017-12-15 23-59-59,0b65f77d-5f0c-4dc2-8b47-566c53ed337f
0b8a6d84-639c-47ce-957a-ed9f86079c06,https://stockx.com/api/products/0b8a6d84-639c-47ce-957a-ed9f86079c06/activity?state=480&currency=USD&limit=20000&page=1&sort=createdAt&order=DESC,Jordan,White/Dark Powder Blue-Cone,https://stockx.imgix.net/Air-Jordan-1-Retro-High-Off-White-University-Blue-Product.jpg?fit&#x3D;fill&amp;bg&#x3D;FFFFFF&amp;w&#x3D;140&amp;h&#x3D;100&amp;auto&#x3D;formatcompress&amp;trim&#x3D;color&amp;q&#x3D;90&amp;dpr&#x3D;2&amp;updated_at&#x3D;1538080256,Jordan 1 Retro High,Jordan 1 Retro High Off-White University Blue,2018-06-23 23-59-59,0b8a6d84-639c-47ce-957a-ed9f86079c06
