,ds,yhat,yhat_lower,yhat_upper
0,2019-04-22,5205,4081,6352
1,2019-04-23,5370,4244,6445
2,2019-04-24,5503,4391,6595
3,2019-04-25,5517,4421,6683
4,2019-04-26,5869,4722,6974
5,2019-04-27,6025,4942,7141
6,2019-04-28,4733,3575,5868
7,2019-04-29,5189,4053,6333
8,2019-04-30,5355,4206,6462
9,2019-05-01,5487,4346,6634
10,2019-05-02,5501,4400,6672
11,2019-05-03,5853,4714,6950
12,2019-05-04,5657,4517,6776
13,2019-05-05,4717,3579,5834
14,2019-05-06,5174,4022,6300
15,2019-05-07,5339,4155,6413
16,2019-05-08,5471,4332,6591
17,2019-05-09,5485,4323,6680
18,2019-05-10,5838,4750,6963
19,2019-05-11,5641,4507,6840
20,2019-05-12,4701,3534,5798
21,2019-05-13,5158,4062,6237
22,2019-05-14,5323,4192,6425
23,2019-05-15,5456,4358,6606
24,2019-05-16,5469,4357,6604
25,2019-05-17,6101,4945,7221
26,2019-05-18,5626,4483,6736
27,2019-05-19,4685,3529,5756
28,2019-05-20,5142,3988,6265
29,2019-05-21,5307,4266,6464
30,2019-05-22,5440,4276,6527
31,2019-05-23,5454,4346,6524
32,2019-05-24,5806,4703,6954
33,2019-05-25,8063,6967,9280
34,2019-05-26,4669,3564,5757
35,2019-05-27,5126,4006,6218
36,2019-05-28,5291,4129,6379
37,2019-05-29,5424,4370,6567
38,2019-05-30,5438,4346,6454
39,2019-05-31,5790,4665,6901
40,2019-06-01,5314,4123,6471
41,2019-06-02,4933,3810,6067
42,2019-06-03,5110,3915,6223
43,2019-06-04,5275,4210,6421
44,2019-06-05,5408,4256,6553
45,2019-06-06,7947,6699,9177
46,2019-06-07,7668,6451,8849
47,2019-06-08,5578,4414,6692
48,2019-06-09,4638,3560,5813
49,2019-06-10,5095,3998,6241
50,2019-06-11,5260,4146,6413
51,2019-06-12,5392,4251,6450
52,2019-06-13,5406,4244,6573
53,2019-06-14,7157,6002,8361
