,volume,date
0,1,2017-01-08
1,1,2017-01-19
2,4,2017-01-20
3,6,2017-01-21
4,6,2017-01-22
5,1,2017-01-23
6,2,2017-01-24
7,4,2017-01-25
8,3,2017-01-26
9,7,2017-01-27
10,5,2017-01-28
11,6,2017-01-29
12,2,2017-01-30
13,14,2017-01-31
14,16,2017-02-01
15,15,2017-02-02
16,33,2017-02-03
17,77,2017-02-04
18,45,2017-02-05
19,50,2017-02-06
20,57,2017-02-07
21,63,2017-02-08
22,74,2017-02-09
23,141,2017-02-10
24,307,2017-02-11
25,208,2017-02-12
26,144,2017-02-13
27,139,2017-02-14
28,149,2017-02-15
29,193,2017-02-16
30,171,2017-02-17
31,166,2017-02-18
32,203,2017-02-19
33,179,2017-02-20
34,162,2017-02-21
35,129,2017-02-22
36,179,2017-02-23
37,233,2017-02-24
38,220,2017-02-25
39,226,2017-02-26
40,196,2017-02-27
41,116,2017-02-28
42,153,2017-03-01
43,121,2017-03-02
44,124,2017-03-03
45,126,2017-03-04
46,91,2017-03-05
47,127,2017-03-06
48,129,2017-03-07
49,102,2017-03-08
50,93,2017-03-09
51,110,2017-03-10
52,108,2017-03-11
53,64,2017-03-12
54,99,2017-03-13
55,87,2017-03-14
56,102,2017-03-15
57,91,2017-03-16
58,100,2017-03-17
59,88,2017-03-18
60,90,2017-03-19
61,159,2017-03-20
62,94,2017-03-21
63,112,2017-03-22
64,115,2017-03-23
65,137,2017-03-24
66,142,2017-03-25
67,126,2017-03-26
68,157,2017-03-27
69,130,2017-03-28
70,120,2017-03-29
71,161,2017-03-30
72,272,2017-03-31
73,1001,2017-04-01
74,401,2017-04-02
75,318,2017-04-03
76,259,2017-04-04
77,307,2017-04-05
78,410,2017-04-06
79,410,2017-04-07
80,338,2017-04-08
81,262,2017-04-09
82,263,2017-04-10
83,238,2017-04-11
84,231,2017-04-12
85,186,2017-04-13
86,248,2017-04-14
87,212,2017-04-15
88,341,2017-04-16
89,298,2017-04-17
90,206,2017-04-18
91,197,2017-04-19
92,201,2017-04-20
93,209,2017-04-21
94,181,2017-04-22
95,208,2017-04-23
96,156,2017-04-24
97,166,2017-04-25
98,466,2017-04-26
99,230,2017-04-27
100,214,2017-04-28
101,196,2017-04-29
102,182,2017-04-30
103,198,2017-05-01
104,422,2017-05-02
105,358,2017-05-03
106,219,2017-05-04
107,285,2017-05-05
108,185,2017-05-06
109,158,2017-05-07
110,217,2017-05-08
111,158,2017-05-09
112,146,2017-05-10
113,242,2017-05-11
114,223,2017-05-12
115,194,2017-05-13
116,157,2017-05-14
117,195,2017-05-15
118,176,2017-05-16
119,202,2017-05-17
120,256,2017-05-18
121,437,2017-05-19
122,348,2017-05-20
123,298,2017-05-21
124,356,2017-05-22
125,306,2017-05-23
126,284,2017-05-24
127,444,2017-05-25
128,331,2017-05-26
129,315,2017-05-27
130,253,2017-05-28
131,347,2017-05-29
132,312,2017-05-30
133,375,2017-05-31
134,443,2017-06-01
135,545,2017-06-02
136,325,2017-06-03
137,481,2017-06-04
138,450,2017-06-05
139,457,2017-06-06
140,517,2017-06-07
141,586,2017-06-08
142,621,2017-06-09
143,526,2017-06-10
144,455,2017-06-11
145,556,2017-06-12
146,601,2017-06-13
147,761,2017-06-14
148,778,2017-06-15
149,550,2017-06-16
150,521,2017-06-17
151,456,2017-06-18
152,582,2017-06-19
153,590,2017-06-20
154,447,2017-06-21
155,507,2017-06-22
156,501,2017-06-23
157,454,2017-06-24
158,451,2017-06-25
159,358,2017-06-26
160,400,2017-06-27
161,388,2017-06-28
162,410,2017-06-29
163,397,2017-06-30
164,251,2017-07-01
165,267,2017-07-02
166,378,2017-07-03
167,252,2017-07-04
168,369,2017-07-05
169,403,2017-07-06
170,346,2017-07-07
171,401,2017-07-08
172,258,2017-07-09
173,445,2017-07-10
174,598,2017-07-11
175,363,2017-07-12
176,358,2017-07-13
177,384,2017-07-14
178,383,2017-07-15
179,320,2017-07-16
180,374,2017-07-17
181,564,2017-07-18
182,350,2017-07-19
183,383,2017-07-20
184,442,2017-07-21
185,344,2017-07-22
186,335,2017-07-23
187,329,2017-07-24
188,697,2017-07-25
189,410,2017-07-26
190,620,2017-07-27
191,406,2017-07-28
192,438,2017-07-29
193,404,2017-07-30
194,484,2017-07-31
195,490,2017-08-01
196,484,2017-08-02
197,441,2017-08-03
198,501,2017-08-04
199,428,2017-08-05
200,418,2017-08-06
201,602,2017-08-07
202,510,2017-08-08
203,794,2017-08-09
204,488,2017-08-10
205,868,2017-08-11
206,591,2017-08-12
207,442,2017-08-13
208,543,2017-08-14
209,609,2017-08-15
210,544,2017-08-16
211,544,2017-08-17
212,623,2017-08-18
213,472,2017-08-19
214,415,2017-08-20
215,472,2017-08-21
216,569,2017-08-22
217,516,2017-08-23
218,1000,2017-08-24
219,648,2017-08-25
220,425,2017-08-26
221,388,2017-08-27
222,546,2017-08-28
223,486,2017-08-29
224,485,2017-08-30
225,508,2017-08-31
226,593,2017-09-01
227,381,2017-09-02
228,379,2017-09-03
229,385,2017-09-04
230,467,2017-09-05
231,448,2017-09-06
232,401,2017-09-07
233,439,2017-09-08
234,493,2017-09-09
235,406,2017-09-10
236,446,2017-09-11
237,407,2017-09-12
238,374,2017-09-13
239,399,2017-09-14
240,384,2017-09-15
241,352,2017-09-16
242,351,2017-09-17
243,385,2017-09-18
244,454,2017-09-19
245,448,2017-09-20
246,620,2017-09-21
247,511,2017-09-22
248,468,2017-09-23
249,437,2017-09-24
250,486,2017-09-25
251,586,2017-09-26
252,441,2017-09-27
253,440,2017-09-28
254,805,2017-09-29
255,602,2017-09-30
256,497,2017-10-01
257,523,2017-10-02
258,571,2017-10-03
259,678,2017-10-04
260,507,2017-10-05
261,627,2017-10-06
262,420,2017-10-07
263,390,2017-10-08
264,341,2017-10-09
265,386,2017-10-10
266,327,2017-10-11
267,316,2017-10-12
268,810,2017-10-13
269,467,2017-10-14
270,354,2017-10-15
271,388,2017-10-16
272,361,2017-10-17
273,357,2017-10-18
274,451,2017-10-19
275,429,2017-10-20
276,306,2017-10-21
277,338,2017-10-22
278,384,2017-10-23
279,386,2017-10-24
280,363,2017-10-25
281,385,2017-10-26
282,382,2017-10-27
283,376,2017-10-28
284,335,2017-10-29
285,377,2017-10-30
286,560,2017-10-31
287,385,2017-11-01
288,334,2017-11-02
289,418,2017-11-03
290,339,2017-11-04
291,317,2017-11-05
292,383,2017-11-06
293,433,2017-11-07
294,538,2017-11-08
295,704,2017-11-09
296,704,2017-11-10
297,1570,2017-11-11
298,976,2017-11-12
299,852,2017-11-13
300,926,2017-11-14
301,1081,2017-11-15
302,1025,2017-11-16
303,914,2017-11-17
304,914,2017-11-18
305,873,2017-11-19
306,1185,2017-11-20
307,993,2017-11-21
308,972,2017-11-22
309,826,2017-11-23
310,1654,2017-11-24
311,1333,2017-11-25
312,864,2017-11-26
313,2271,2017-11-27
314,2067,2017-11-28
315,2144,2017-11-29
316,3191,2017-11-30
317,2364,2017-12-01
318,1793,2017-12-02
319,1625,2017-12-03
320,1834,2017-12-04
321,1903,2017-12-05
322,1751,2017-12-06
323,1779,2017-12-07
324,1922,2017-12-08
325,2484,2017-12-09
326,1688,2017-12-10
327,1880,2017-12-11
328,1878,2017-12-12
329,1792,2017-12-13
330,1963,2017-12-14
331,2120,2017-12-15
332,3319,2017-12-16
333,2232,2017-12-17
334,2052,2017-12-18
335,1839,2017-12-19
336,1887,2017-12-20
337,1732,2017-12-21
338,1812,2017-12-22
339,1528,2017-12-23
340,1043,2017-12-24
341,1236,2017-12-25
342,1616,2017-12-26
343,1798,2017-12-27
344,1745,2017-12-28
345,1772,2017-12-29
346,1717,2017-12-30
347,1189,2017-12-31
348,1079,2018-01-01
349,1352,2018-01-02
350,1392,2018-01-03
351,1355,2018-01-04
352,1242,2018-01-05
353,1132,2018-01-06
354,1020,2018-01-07
355,1152,2018-01-08
356,1054,2018-01-09
357,1120,2018-01-10
